**** BEGIN LOGGING AT Sun Feb 25 00:00:00 2018

Feb 25 00:00:00 <thekirbyy>	im from saudi arabia
Feb 25 00:00:03 <shadowtigger333>	the moon
Feb 25 00:00:09 <alyaka>	owlldn100
Feb 25 00:00:09 <connerhasdysentery>	avenue*
Feb 25 00:00:18 <agentcayde>	owldal100
Feb 25 00:00:21 <alyaka>	owlldn100
Feb 25 00:00:23 <de_blois>	who here is from mars?
Feb 25 00:00:24 *	jtv removes channel operator status from blizzarddalaran
Feb 25 00:00:29 <kittystarrr>	whendoesrerunstart
Feb 25 00:00:30 <agentcayde>	owlfla100
Feb 25 00:00:31 <alyaka>	owlldn100
Feb 25 00:00:40 <agentcayde>	owlgla100
Feb 25 00:00:45 <libbycallaghan>	@ConnerHasDysentery this is also my first time for the new year event so i have everything for the old event as well now
Feb 25 00:00:49 <agentcayde>	owlhou100
Feb 25 00:00:55 <romm9r>	yeet
Feb 25 00:01:04 <agentcayde>	owlldn100
Feb 25 00:01:11 <alyaka>	owlldn100
Feb 25 00:01:28 <feiling>	TableHere TableHere
Feb 25 00:01:28 <alyaka>	owlldn100
Feb 25 00:01:34 *	jtv gives channel operator status to blizzarddalaran
Feb 25 00:01:40 <shadowtigger333>	Ads didn't reset at 12 local :'(
Feb 25 00:01:41 <moobot>	Get League Tokens just for watching or Cheer on your favorite teams and get loot. Find out how! http://link.twitch.tv/owl-unlock-loot
Feb 25 00:01:42 <connerhasdysentery>	@libbycallaghan it's my first time as well I do have to say getting everything in an event is pretty impressive
Feb 25 00:01:45 <afireinside>	OWLNYE
Feb 25 00:01:46 <blue_phazon>	i love everyone who's still in this chat
Feb 25 00:01:47 <agentcayde>	owlnye100
Feb 25 00:01:49 <blue_phazon>	you guys are cuties
Feb 25 00:01:51 <redstonemotorboat>	OWLDoomfist OWLSombra OWLTorbjorn OWLNYE
Feb 25 00:01:55 <scorthyn>	Im from Portugal
Feb 25 00:01:58 <realgreigames>	thanks daddy
Feb 25 00:02:01 <agentcayde>	owlphi100
Feb 25 00:02:05 <shadowtigger333>	OWLDAL
Feb 25 00:02:05 <libbycallaghan>	yeah it took for ever
Feb 25 00:02:15 <skawkdtc>	sex
Feb 25 00:02:18 <latewinterow>	no one ever leaves
Feb 25 00:02:20 <agentcayde>	owlseo100
Feb 25 00:02:28 <connerhasdysentery>	bad boy
Feb 25 00:02:33 <gliichakc>	!tokens
Feb 25 00:02:33 <moobot>	No command needed! Earn League Tokens just for watching the matches! Link your Twitch and Overwatch account to begin. https://watch.twitch.tv/2BIi3Wa (GliichAKC)
Feb 25 00:02:34 <agentcayde>	owlsfs100
Feb 25 00:02:34 <nyanmudkip>	im so hungry but theres no food FeelsBadMan
Feb 25 00:02:45 <libbycallaghan>	are there skin for every character like this tracer one
Feb 25 00:02:46 <agentcayde>	owlshd100
Feb 25 00:02:47 <scorthyn>	Im only in this chat cuz i arrived to late. I feel bad for dragons :( i really want them to win
Feb 25 00:02:51 <connerhasdysentery>	we get it free league tokens
Feb 25 00:02:54 <bebbles_>	OWLLDN OWLDoomfist
Feb 25 00:02:56 <latewinterow>	No spamming Moobot (Warning)
Feb 25 00:02:59 <djfatcrow>	YoLo
Feb 25 00:03:02 <alyaka>	owldal100 owldal100
Feb 25 00:03:05 <afireinside>	OWLRoadhog
Feb 25 00:03:06 <agentcayde>	owlval100
Feb 25 00:03:06 <connerhasdysentery>	i only want the tracer one
Feb 25 00:03:10 <scorthyn>	yeah Moobot stfu
