**** BEGIN LOGGING AT Fri Mar 16 00:00:00 2018

Mar 16 00:00:00 <dombuldore>	:o
Mar 16 00:00:00 <mjeighty>	📞 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:00 <saorong>	WutFace
Mar 16 00:00:00 <amend3d>	📞 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:00 <mfsweatypenguin>	33666
Mar 16 00:00:00 <white__panther>	FeelsBadMan
Mar 16 00:00:00 <ckymatty2>	J LUL KE
Mar 16 00:00:00 <luciiow>	@Anxietty TriHard 7
Mar 16 00:00:00 <scarlett_brohansson>	the bois TriHard
Mar 16 00:00:00 <semanticist>	LUL
Mar 16 00:00:01 <tdtkompae>	OWLGLA OWLGLA OWLGLA
Mar 16 00:00:01 <flammx>	Bois LUL
Mar 16 00:00:01 <zeefusion>	It's 1 - 1 currently.
Mar 16 00:00:01 <tiberow>	: 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:01 <shukie>	ArsonNoSexy ArsonNoSexy ArsonNoSexy ArsonNoSexy ArsonNoSexy ArsonNoSexy
Mar 16 00:00:01 <moobot>	No spamming allowed (Shukie) (warning)
Mar 16 00:00:02 <primalrage>	HSWP
Mar 16 00:00:02 <xxscarpeexx>	📞 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:00:02 <kerbyxf>	DBstyle
Mar 16 00:00:02 <frozenwaffle123>	MULTI MILLION LEAGUE LUL 100k viewers LUL
Mar 16 00:00:02 <theyeetmeister>	that triple tho
Mar 16 00:00:02 <theoldrepublic1>	WutFace WutFace WutFace
Mar 16 00:00:03 <zenkihachi>	#BRINGBACKGOLDENBOY
Mar 16 00:00:03 <ursinonick>	OWLOrisa
Mar 16 00:00:03 <neodorian_>	J LUL K E IS TRASH LUL
Mar 16 00:00:03 <dpa818>	CHAT THINKS JAKE IS BAD YET THEY'RE IN BRONZE LUL
Mar 16 00:00:03 <redvillager>	WutFace
Mar 16 00:00:03 <mercymainbtw1234>	Boink carry
Mar 16 00:00:03 <hiiyorri>	owlseo100 owlseo100
Mar 16 00:00:04 <uiqqq>	TriHard
Mar 16 00:00:04 <theerotictoaster>	LUL
Mar 16 00:00:04 <trevomeaster>	naisu
Mar 16 00:00:04 <zalq>	KappaPride
Mar 16 00:00:04 <olsonar22>	lul
Mar 16 00:00:04 <lonespartan745>	fuckett
Mar 16 00:00:04 <ckymatty>	J LUL KE
Mar 16 00:00:05 <heroiclittlewaffle>	4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head 4Head
Mar 16 00:00:05 <rim_ejk>	owlshd100 owlshd100 owlshd100 owlshd100 owlshd100
Mar 16 00:00:05 <malcolmflex17>	KappaPride
Mar 16 00:00:05 <jimmywho98>	@ckymatty TriHard 7
