**** BEGIN LOGGING AT Mon Mar  5 00:00:36 2018

Mar 05 00:00:36 <hodgehangout>	cheer 50
Mar 05 00:00:58 <hodgehangout>	owlhou100
Mar 05 00:01:36 <okimamoton>	owlhou100 iamxqRS2
Mar 05 00:01:36 <moobot>	Get League Tokens just for watching or Cheer on your favorite teams and get loot. Find out how! http://link.twitch.tv/owl-unlock-loot
Mar 05 00:01:58 <hodgehangout>	owlval100
Mar 05 00:02:02 *	jtv gives channel operator status to led
Mar 05 00:02:02 *	jtv gives channel operator status to bulldognirvana
Mar 05 00:02:15 <okimamoton>	owlhou100 iamxqSm
Mar 05 00:04:09 <yeah_peach>	owlbos100
Mar 05 00:08:22 *	jtv gives channel operator status to rowsdowerinspace
Mar 05 00:08:26 <swimmerow_>	OWLPHIL50
Mar 05 00:08:34 <swimmerow_>	owlphi50
Mar 05 00:08:47 <swimmerow_>	OWLPHI
Mar 05 00:11:36 <thirdeyewide>	:siren:
Mar 05 00:12:31 <sssirengaming>	yes?
Mar 05 00:13:47 *	jtv removes channel operator status from led
Mar 05 00:13:47 *	jtv removes channel operator status from bulldognirvana
Mar 05 00:15:39 <valkier>	owlphi50
Mar 05 00:19:26 <gaydentists>	owlldn100
Mar 05 00:20:16 *	jtv removes channel operator status from travistyoj
Mar 05 00:24:48 <geekykii>	owlldn50
Mar 05 00:24:48 <moobot>	Get League Tokens just for watching or Cheer on your favorite teams and get loot. Find out how! http://link.twitch.tv/owl-unlock-loot
